DATETIME,DEVICE ID,STATUS TYPE,uptime,errors,volt_supply,pot_values,can_id,firmware,board_ver,muscle_count,log_interval,vrd_scalar,vrd_offset,max_current,min_v_supply,enable_status,control_mode,pwm_out,load_amps,load_voltdrop,load_ohms,SMA_default_mode,SMA_default_setpoint,SMA_rcontrol_kp,SMA_rcontrol_ki,SMA_rcontrol_kd,vld_scalar,vld_offset,r_sns_ohms,amp_gain,af_mohms,delta_mohms,trainstate
11/18/2024 16:53:50.755,66051,status node dump,647,255,3.817204475402832,0.4713541567325592,0,0.0,0.0,2,500,0.05376344174146652,0.0,80.0,7.0,,,,,,,,,,,,,,,,,,
11/18/2024 16:53:51.565,66051,status node compact,648,255,3.826164722442627,0.470703125,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/18/2024 16:53:51.862,66051,status node compact,649,255,3.822580575942993,0.4713541567325592,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/18/2024 16:53:52.461,66051,status node compact,649,255,3.8189964294433594,0.4710286557674408,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/18/2024 16:53:53.658,66051,status node compact,650,255,3.8189964294433594,0.4710286557674408,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/18/2024 16:53:54.260,66051,status node compact,651,255,3.8189964294433594,0.4716796875,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/18/2024 16:53:54.861,66051,status node compact,652,255,3.817204475402832,0.4713541567325592,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/18/2024 16:53:55.462,66051,status node compact,652,255,3.826164722442627,0.4713541567325592,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/18/2024 16:53:56.665,66051,status node compact,653,255,3.817204475402832,0.4720052182674408,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/18/2024 16:53:57.271,66051,status node compact,654,255,3.813620090484619,0.4716796875,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/18/2024 16:53:57.890,66051,status node compact,655,255,3.820788621902466,0.4716796875,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/18/2024 16:53:58.750,66051,status node compact,655,255,3.820788621902466,0.4713541567325592,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/18/2024 16:53:59.677,66051,status node compact,656,255,3.8189964294433594,0.4713541567325592,,,,,,,,,,,,,,,,,,,,,,,,,,,
